objectid,identifier,display_template,object_location,image_small,image_thumb,title,date,decade,object_transcript,subject,location,source,type,format,language,rights,rightsstatement
ais_bs_105,IMG_5713,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5713.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5713.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5713.jpeg,"1896-04-16, District apportionment and elections",1896-04-16,1890-1899,"N-10 The Blade Thurs April 16, 1896
Article on Barefoot School fund... 73 districts in county... Dist. 1 (Bham) apportioned $341. - - Dist. 32 = $10.00.",,"Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_106,IMG_5713,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5713.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5713.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5713.jpeg,"1896-06-23, School apportionment and elections",1896-06-23,1890-1899,"N-10 The Blade Tues June 23, 1896
School apport... Dist 32 20.55... Elected at school dist. elections: No 32, Beach - Henry Nugent, director; Chas. L Sicklesteel, clerk.","Nugent, Henry; Sicklesteel, Charles L.","Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_107,IMG_5713,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5713.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5713.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5713.jpeg,"1896, County superintendent annual report",1896,1890-1899,"M-20 Co. Supt Annual Report - 1896 J.M. Hitt, Supt
#32 (Gives complete financial repor)
No. census child. in dist June 1, 1896 29M 16F T45
No. pupils enrolled in publ schl 24M 11F T35
Avg daily attend 19M 8.3F T27.3
No teach empl 1 F Avg Sal per mo 30.
No mos schl taught - 3 Act days taught - 53
No. depts (rooms) maint - 1
No. pupils 1st yr course - 7, 2nd yr - 3, 3rd yr - 8, 4th yr - 4, 5th yr - 12, 6th yr - 1, 7-8-9 -0
Avg recitations daily - 33
Value schlhse incl grounds - 1500. Value furn - 500.
Value apparatus - 100. Total 2100. 
No. school houses now in dist - 1 Frame
Total seating capy all rooms - 42","Hitt, J. M.","Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_108,IMG_5713,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5713.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5713.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5713.jpeg,"1896-1897, Enrollment",1896-1897,1890-1899,"M-22 Pg 11
October 1896-97 - 45 pupils",,"Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_109,IMG_5713,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5713.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5713.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5713.jpeg,"1896-10-05, George Austin employment",1891-1900,1890-1899,"M-34 From Vol 1 Record of Teach Empl 1891-1900
Geo R Austin 5 mos beg 10-5-96 $30.00","Austin, George R.","Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_110,IMG_5714,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5714.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5714.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5714.jpeg,"1897, County superintendent report",1897,1890-1899,"Co. Supt Report Aug. 1897
Census = 32M 19F
Enrolled 15M 12F
6 3/4 Mos
1 Male teacher
1 dept
1 frame schoolhouse
copy = 50",,"Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_111,IMG_5715,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,"1897-04-11, School apportionment update",1897-04-11,1890-1899,"N-3 DR Sun Apr 11, 1897
Long article on new state school apportionment law... ""is made solely on the basis of the total days attendance and not on the census. If, however, the district has less than 2000 days total it is still allowed 2000 days.""",,"Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_112,IMG_5715,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,"1897-06-03, Female teacher wanted",1897-06-03,1890-1899,"N-3 DR Thurs June 3, 1897
Lady teacher wanted... To give her services 2 or 3 hours per day at my home thru the summer in exchg for board. Capt J. W. Tarte, Beach P.O. L.I.","Tarte, James W.","Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_113,IMG_5715,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,"1897-06-30, George Austin enrolled in teacher training",1897-06-30,1890-1899,"N-3 DR Wed June 30, 1897
On a list of teachers enrolled in Whatcom County Institute of 1897: George Austin","Austin, George R.","Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
ais_bs_114,IMG_5715,image,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,https://faculty.washington.edu/ketchley/beach_school_history/IMG_5715.jpeg,"1897-09-26, George Austin teaching success",1897-09-26,1890-1899,"???
N-3 DR Sun Sept 26, 1897
Mr. George R. Austin who has been elected to room 3 is a very successful teacher of this county. After passing thru our high school he attended the state U opf Wash. for 2 yrs and 1 yr at the Leland Stanford and is now in the junior class of that university.","Austin, George R.","Western Washington University, Center for Pacific Northwest Studies","Peggy Aiston - Research on Lummi Island History collection, 1579-1998",Image;StillImage,,,,
